Day of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
"March 4, 2020",3/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,938.36289
"March 5, 2020",3/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,951.074314
"March 6, 2020",3/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,945.09723
"March 7, 2020",3/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,868.246514
"March 8, 2020",3/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,794.614289
"March 9, 2020",3/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,958.207126
"March 10, 2020",3/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,999.837942
"March 11, 2020",3/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1003.473688
"March 12, 2020",3/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1014.246171
"March 13, 2020",3/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1029.924927
"March 14, 2020",3/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,953.203216
"March 15, 2020",3/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,873.431557
"March 16, 2020",3/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1022.857039
"March 17, 2020",3/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1034.214985
"March 18, 2020",3/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1031.469406
"March 19, 2020",3/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,1022.613649
"March 20, 2020",3/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,990.728487
"March 21, 2020",3/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,866.412555
"March 22, 2020",3/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,772.244919
"March 23, 2020",3/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,864.762351
"March 24, 2020",3/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,854.625908
"March 25, 2020",3/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,847.922206
"March 26, 2020",3/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,848.474984
"March 27, 2020",3/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,849.931108
"March 28, 2020",3/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,819.067006
"March 29, 2020",3/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,770.444979
"March 30, 2020",3/30/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,856.297819
"March 31, 2020",3/31/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,871.521262
"April 1, 2020",4/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,864.008609
"April 2, 2020",4/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,878.467904
"April 3, 2020",4/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,875.303989
"April 4, 2020",4/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,786.94748
"April 5, 2020",4/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,737.943995
"April 6, 2020",4/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,847.632918
"April 7, 2020",4/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,846.031183
"April 8, 2020",4/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,812.440653
"April 9, 2020",4/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,784.98323
"April 10, 2020",4/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,692.899901
